================================================================================================================================
                                                HALIL1 PORTFÖYÜ - İŞLEM GEÇMİŞİ                                                 
================================================================================================================================
Tarih                | İşlem Tipi           | Hisse  | Lot    | Fiyat (TL) | Tutar (TL)   | K/Z (TL)   | K/Z (%)  | Bütçe (TL)  
--------------------------------------------------------------------------------------------------------------------------------
2026-05-22 11:42:21  | Bütçe Güncelleme     | -      | -      | -          | 50000.00     | -          | -        | 50000.00    
2026-05-22 11:43:46  | Hisse Alım           | ECILC  | 200    | 79.50      | -15900.00    | -          | -        | 34100.00    
2026-05-22 11:44:01  | Hisse Alım           | ODAS   | 2000   | 6.79       | -13580.00    | -          | -        | 20520.00    
2026-05-22 11:46:52  | Hisse Satım          | ECILC  | 150    | 79.60      | 11940.00     | +15.00     | %+0.13   | 32460.00    
2026-05-22 11:50:59  | Portföy Değerlemesi  | -      | -      | -          | 17627.50     | +72.50     | %+0.41   | 32460.00    
2026-05-22 12:46:01  | Portföy Değerlemesi  | -      | -      | -          | 17785.00     | +230.00    | %+1.31   | 32460.00    
2026-05-22 14:00:58  | Hisse Alım           | AKBNK  | 150    | 62.80      | -9420.00     | -          | -        | 23040.00    
2026-05-22 14:01:17  | Hisse Alım           | OYAKC  | 400    | 20.24      | -8096.00     | -          | -        | 14944.00    
2026-05-22 14:02:09  | Portföy Değerlemesi  | -      | -      | -          | 35230.00     | +159.00    | %+0.45   | 14944.00    
2026-05-22 14:04:01  | Portföy Değerlemesi  | -      | -      | -          | 35111.00     | +40.00     | %+0.11   | 14944.00    
2026-05-22 15:20:20  | Portföy Değerlemesi  | -      | -      | -          | 35567.50     | +496.50    | %+1.42   | 14944.00    
2026-05-22 15:22:33  | Hisse Satım          | ODAS   | 300    | 6.98       | 2094.00      | +57.00     | %+2.80   | 17038.00    
2026-05-22 15:44:34  | Portföy Değerlemesi  | -      | -      | -          | 33556.00     | +522.00    | %+1.58   | 17038.00    
2026-05-22 16:16:09  | Bütçe Güncelleme     | -      | -      | -          | 82962.00     | -          | -        | 100000.00   
2026-05-22 16:17:23  | Portföy Değerlemesi  | -      | -      | -          | 33711.50     | +677.50    | %+2.05   | 100000.00   
2026-06-18 10:50:26  | Portföy Değerlemesi  | -      | -      | -          | 39531.50     | +6497.50   | %+19.67  | 100000.00   
2026-06-18 10:51:44  | Hisse Satım          | ECILC  | 50     | 82.85      | 4142.50      | +167.50    | %+4.21   | 104142.50   
2026-06-18 10:52:01  | Hisse Satım          | OYAKC  | 400    | 21.74      | 8696.00      | +600.00    | %+7.41   | 112838.50   
2026-06-18 10:52:43  | Hisse Alım           | TABGD  | 151    | 248.90     | -37583.90    | -          | -        | 75254.60    
2026-06-18 10:53:01  | Hisse Alım           | TUPRS  | 166    | 226.00     | -37516.00    | -          | -        | 37738.60    
2026-06-18 10:53:22  | Hisse Alım           | AGHOL  | 1101   | 34.16      | -37610.16    | -          | -        | 128.44      
2026-06-18 10:53:31  | Portföy Değerlemesi  | -      | -      | -          | 139663.74    | +5990.68   | %+4.48   | 128.44      
2026-06-18 14:07:31  | Bütçe Güncelleme     | -      | -      | -          | 9871.56      | -          | -        | 10000.00    
2026-06-18 14:26:28  | Bütçe Güncelleme     | -      | -      | -          | 40000.00     | -          | -        | 50000.00    
2026-06-18 14:26:35  | Portföy Değerlemesi  | -      | -      | -          | 138699.82    | +5026.76   | %+3.76   | 50000.00    
2026-07-29 09:22:15  | Portföy Değerlemesi  | -      | -      | -          | nan          | +nan       | %+nan    | 50000.00    
2026-08-12 15:54:20  | Portföy Değerlemesi  | -      | -      | -          | 156664.64    | +22991.58  | %+17.20  | 50000.00    
2026-08-12 16:07:10  | Portföy Değerlemesi  | -      | -      | -          | 157201.65    | +23528.59  | %+17.60  | 50000.00    
2026-08-13 10:51:25  | Portföy Değerlemesi  | -      | -      | -          | 157769.68    | +24096.62  | %+18.03  | 50000.00    
2026-08-13 10:51:57  | Bütçe Güncelleme     | -      | -      | -          | 5000.00      | -          | -        | 55000.00    
2026-08-13 11:22:47  | Portföy Değerlemesi  | -      | -      | -          | 157037.39    | +23364.33  | %+17.48  | 55000.00    
2026-08-13 11:37:06  | Portföy Değerlemesi  | -      | -      | -          | 157017.43    | +23344.37  | %+17.46  | 55000.00    
2026-08-13 11:53:44  | Portföy Değerlemesi  | -      | -      | -          | 157058.93    | +23385.87  | %+17.49  | 55000.00    
