====================================================================================================
BAHTIYAR BACKTEST RAPORU - SİSTEM PERFORMANSI TESTI
====================================================================================================

📊 TEST ÖZETİ
----------------------------------------------------------------------------------------------------
Test Dönemi:              2024-06-18 → 2026-06-18
Başlangıç Bütçesi:           100000.00 TL
Son Portföy Değeri:          112364.62 TL
Kar/Zarar:                    12364.62 TL  (+12.36%)
Maksimum Portföy Değeri:     140868.61 TL
Minimum Portföy Değeri:       78391.85 TL

💼 İŞLEM İSTATİSTİKLERİ
----------------------------------------------------------------------------------------------------
Toplam Alım Sayısı:                 37
Toplam Satış Sayısı:                32
Toplam Alım Tutarı:          575085.29 TL
Toplam Satış Tutarı:         475087.58 TL
Gerçekleşen Kar/Zarar:       -27674.62 TL

📈 FİNAL DURUM (Test Sonunda)
----------------------------------------------------------------------------------------------------
Aktif Yatırım Pozisyonları: 5
Hisse Portföyü Değeri:         112362.32 TL
Kalan Nakit:                        2.30 TL
Toplam Portföy Değeri:         112364.62 TL

📊 AKTİF YATIRIM POZİSYONLARI
----------------------------------------------------------------------------------------------------
Ticker     | Lot    | Alış Fiyatı  | Alış Tarihi    
----------------------------------------------------------------------------------------------------
GUMUS      | 443    | 37.37        | 2024-10-30
ALTIN      | 4      | 3072.81      | 2024-10-30
GC=F       | 5      | 4389.17      | 2025-08-21
SOKM       | 262    | 54.80        | 2026-03-13
AKFGY      | 2637   | 2.72         | 2026-03-27

📋 İŞLEM GEÇMİŞİ (Son 100 İşlem)
----------------------------------------------------------------------------------------------------
Tarih        | Tip   | Ticker   | Lot   | Fiyat      | Tutar        | K/Z          | Kalan Bütçe 
----------------------------------------------------------------------------------------------------
2024-06-18   | BUY   | PNLSN    | 329   | 67.70      | 22273.30     |            - | 77726.70    
2024-06-18   | BUY   | AKSEN    | 497   | 44.70      | 22215.90     |            - | 55510.80    
2024-06-18   | BUY   | ALARK    | 164   | 112.70     | 18482.80     |            - | 37028.00    
2024-06-18   | BUY   | ENJSA    | 290   | 63.70      | 18473.00     |            - | 18555.00    
2024-06-18   | BUY   | KARSN    | 1394  | 13.31      | 18554.14     |            - | 0.86        
2024-07-24   | SELL  | ALARK    | 164   | 105.40     | 17285.60     |    -1197.20 | 17286.46    
2024-07-24   | BUY   | VESTL    | 232   | 74.35      | 17249.20     |            - | 37.26       
2024-07-31   | SELL  | PNLSN    | 329   | 60.95      | 20052.55     |    -2220.75 | 20089.81    
2024-07-31   | BUY   | TTRAK    | 25    | 774.50     | 19362.50     |            - | 727.31      
2024-08-28   | SELL  | TTRAK    | 25    | 713.00     | 17825.00     |    -1537.50 | 18552.31    
2024-08-28   | BUY   | TABGD    | 119   | 155.30     | 18480.70     |            - | 71.61       
2024-09-04   | SELL  | VESTL    | 232   | 65.50      | 15196.00     |    -2053.20 | 15267.61    
2024-09-04   | BUY   | OTKAR    | 34    | 447.25     | 15206.50     |            - | 61.11       
2024-09-25   | SELL  | TABGD    | 119   | 139.40     | 16588.60     |    -1892.10 | 16649.71    
2024-09-25   | BUY   | AEFES    | 865   | 19.24      | 16642.60     |            - | 7.11        
2024-10-02   | SELL  | OTKAR    | 34    | 415.25     | 14118.50     |    -1088.00 | 14125.61    
2024-10-02   | BUY   | MGROS    | 32    | 434.75     | 13912.00     |            - | 213.61      
2024-10-09   | SELL  | AKSEN    | 497   | 35.34      | 17563.98     |    -4651.92 | 17777.59    
2024-10-09   | BUY   | TAVHL    | 79    | 222.50     | 17577.50     |            - | 200.09      
2024-10-16   | SELL  | ENJSA    | 290   | 55.60      | 16124.00     |    -2349.00 | 16324.09    
2024-10-16   | BUY   | OYAKC    | 1122  | 14.54      | 16312.15     |            - | 11.94       
2024-10-23   | SELL  | OYAKC    | 1122  | 13.79      | 15477.85     |     -834.31 | 15489.78    
2024-10-23   | BUY   | MAVI     | 402   | 38.50      | 15477.00     |            - | 12.78       
2024-10-30   | SELL  | MGROS    | 32    | 416.00     | 13312.00     |     -600.00 | 13324.78    
2024-10-30   | SELL  | MAVI     | 402   | 38.62      | 15527.25     |       50.25 | 28852.03    
2024-10-30   | BUY   | GUMUS    | 443   | 37.37      | 16555.73     |            - | 12296.30    
2024-10-30   | BUY   | ALTIN    | 4     | 3072.81    | 12291.26     |            - | 5.04        
2024-11-20   | SELL  | AEFES    | 865   | 19.67      | 17014.55     |      371.95 | 17019.59    
2024-11-20   | BUY   | PGSUS    | 77    | 219.70     | 16916.90     |            - | 102.69      
2024-12-11   | SELL  | KARSN    | 1394  | 12.69      | 17689.86     |     -864.28 | 17792.55    
2024-12-11   | BUY   | KZBGY    | 9145  | 1.95       | 17791.60     |            - | 0.96        
2025-01-30   | SELL  | KZBGY    | 9145  | 1.58       | 14403.38     |    -3388.22 | 14404.33    
2025-01-30   | BUY   | GWIND    | 493   | 29.16      | 14375.88     |            - | 28.45       
2025-03-27   | SELL  | GWIND    | 493   | 24.86      | 12255.98     |    -2119.90 | 12284.43    
2025-03-27   | BUY   | AKBNK    | 232   | 52.80      | 12249.60     |            - | 34.83       
2025-04-10   | SELL  | TAVHL    | 79    | 243.40     | 19228.60     |     1651.10 | 19263.43    
2025-04-10   | BUY   | ISCTR    | 1694  | 11.37      | 19260.78     |            - | 2.65        
2025-05-01   | SELL  | ISCTR    | 1694  | 10.30      | 17448.20     |    -1812.58 | 17450.85    
2025-05-01   | BUY   | OYAKC    | 744   | 23.44      | 17439.36     |            - | 11.49       
2025-05-08   | SELL  | AKBNK    | 232   | 49.90      | 11576.80     |     -672.80 | 11588.29    
2025-05-08   | BUY   | AKSA     | 1235  | 9.38       | 11584.30     |            - | 3.99        
2025-06-05   | SELL  | AKSA     | 1235  | 9.48       | 11707.80     |      123.50 | 11711.79    
2025-06-05   | BUY   | DOAS     | 66    | 177.40     | 11708.40     |            - | 3.39        
2025-06-12   | SELL  | DOAS     | 66    | 177.90     | 11741.40     |       33.00 | 11744.79    
2025-06-12   | BUY   | ALARK    | 146   | 80.30      | 11723.80     |            - | 20.99       
2025-06-19   | SELL  | PGSUS    | 77    | 218.10     | 16793.70     |     -123.20 | 16814.69    
2025-06-19   | SELL  | ALARK    | 146   | 75.35      | 11001.10     |     -722.70 | 27815.79    
2025-06-19   | BUY   | ECILC    | 343   | 41.02      | 14069.86     |            - | 13745.93    
2025-06-19   | BUY   | PGSUS    | 63    | 218.10     | 13740.30     |            - | 5.63        
2025-08-21   | SELL  | ECILC    | 343   | 68.40      | 23461.20     |     9391.34 | 23466.83    
2025-08-21   | BUY   | GC=F     | 5     | 4389.17    | 21945.86     |            - | 1520.98     
2025-09-04   | SELL  | OYAKC    | 744   | 21.90      | 16293.60     |    -1145.76 | 17814.57    
2025-09-04   | BUY   | OTKAR    | 35    | 501.50     | 17552.50     |            - | 262.07      
2025-10-02   | SELL  | PGSUS    | 63    | 224.00     | 14112.00     |      371.70 | 14374.07    
2025-10-02   | BUY   | SISE     | 400   | 35.88      | 14352.00     |            - | 22.07       
2025-10-30   | SELL  | SISE     | 400   | 36.76      | 14704.00     |      352.00 | 14726.07    
2025-10-30   | BUY   | EUREN    | 1669  | 8.82       | 14720.58     |            - | 5.49        
2025-11-20   | SELL  | EUREN    | 1669  | 6.10       | 10180.90     |    -4539.68 | 10186.39    
2025-11-20   | BUY   | EUREN    | 1669  | 6.10       | 10180.90     |            - | 5.49        
2026-01-09   | SELL  | EUREN    | 1669  | 6.03       | 10064.07     |     -116.83 | 10069.56    
2026-01-09   | BUY   | EUREN    | 1669  | 6.03       | 10064.07     |            - | 5.49        
2026-01-16   | SELL  | EUREN    | 1669  | 5.03       | 8395.07      |    -1669.00 | 8400.56     
2026-01-16   | BUY   | TSKB     | 643   | 13.06      | 8397.58      |            - | 2.98        
2026-02-13   | SELL  | OTKAR    | 35    | 469.00     | 16415.00     |    -1137.50 | 16417.98    
2026-02-13   | BUY   | BUCIM    | 2325  | 7.06       | 16414.50     |            - | 3.48        
2026-03-13   | SELL  | BUCIM    | 2325  | 6.19       | 14391.75     |    -2022.75 | 14395.23    
2026-03-13   | BUY   | SOKM     | 262   | 54.80      | 14357.60     |            - | 37.63       
2026-03-27   | SELL  | TSKB     | 643   | 11.10      | 7137.30      |    -1260.28 | 7174.94     
2026-03-27   | BUY   | AKFGY    | 2637  | 2.72       | 7172.64      |            - | 2.30        

====================================================================================================
Test Tamamlandı - Raporun Üretilme Tarihi: 18.06.2026 14:08:22
====================================================================================================
