====================================================================================================
BAHTIYAR BACKTEST RAPORU - SİSTEM PERFORMANSI TESTI
====================================================================================================

📊 TEST ÖZETİ
----------------------------------------------------------------------------------------------------
Test Dönemi:              2025-06-18 → 2026-06-18
Başlangıç Bütçesi:            50000.00 TL
Son Portföy Değeri:           77561.02 TL
Kar/Zarar:                    27561.02 TL  (+55.12%)
Maksimum Portföy Değeri:      79809.49 TL
Minimum Portföy Değeri:       50000.00 TL

💼 İŞLEM İSTATİSTİKLERİ
----------------------------------------------------------------------------------------------------
Toplam Alım Sayısı:                 42
Toplam Satış Sayısı:                37
Toplam Alım Tutarı:          561574.08 TL
Toplam Satış Tutarı:         511587.38 TL
Gerçekleşen Kar/Zarar:        27561.02 TL

📈 FİNAL DURUM (Test Sonunda)
----------------------------------------------------------------------------------------------------
Aktif Yatırım Pozisyonları: 5
Hisse Portföyü Değeri:          77547.72 TL
Kalan Nakit:                       13.30 TL
Toplam Portföy Değeri:          77561.02 TL

📊 AKTİF YATIRIM POZİSYONLARI
----------------------------------------------------------------------------------------------------
Ticker     | Lot    | Alış Fiyatı  | Alış Tarihi    
----------------------------------------------------------------------------------------------------
DOHOL      | 770    | 23.40        | 2026-05-14
AEFES      | 714    | 18.58        | 2026-05-21
ASTOR      | 54     | 295.00       | 2026-06-11
KORDS      | 207    | 73.50        | 2026-06-18
GESAN      | 214    | 70.65        | 2026-06-18

📋 İŞLEM GEÇMİŞİ (Son 100 İşlem)
----------------------------------------------------------------------------------------------------
Tarih        | Tip   | Ticker   | Lot   | Fiyat      | Tutar        | K/Z          | Kalan Bütçe 
----------------------------------------------------------------------------------------------------
2025-06-25   | BUY   | GLYHO    | 1588  | 7.66       | 12164.08     |            - | 37835.92    
2025-06-25   | BUY   | AKFGY    | 4476  | 2.37       | 10608.12     |            - | 27227.80    
2025-06-25   | BUY   | KZBGY    | 2800  | 3.25       | 9088.80      |            - | 18139.00    
2025-06-25   | BUY   | BIOEN    | 428   | 21.24      | 9090.72      |            - | 9048.28     
2025-06-25   | BUY   | TABGD    | 52    | 174.00     | 9048.00      |            - | 0.28        
2025-07-09   | SELL  | AKFGY    | 4476  | 2.86       | 12801.36     |     2193.24 | 12801.64    
2025-07-09   | BUY   | IMASM    | 3844  | 3.33       | 12800.52     |            - | 1.12        
2025-08-06   | SELL  | KZBGY    | 2800  | 4.30       | 12037.20     |     2948.40 | 12038.32    
2025-08-06   | BUY   | AKBNK    | 180   | 66.70      | 12006.00     |            - | 32.32       
2025-08-13   | SELL  | TABGD    | 52    | 209.40     | 10888.80     |     1840.80 | 10921.12    
2025-08-13   | BUY   | ALBRK    | 1289  | 8.47       | 10917.83     |            - | 3.29        
2025-08-27   | SELL  | IMASM    | 3844  | 3.96       | 15222.24     |     2421.72 | 15225.53    
2025-08-27   | BUY   | AKSEN    | 379   | 40.08      | 15190.32     |            - | 35.21       
2025-09-03   | SELL  | AKBNK    | 180   | 60.80      | 10944.00     |    -1062.00 | 10979.21    
2025-09-03   | SELL  | AKSEN    | 379   | 36.80      | 13947.20     |    -1243.12 | 24926.41    
2025-09-03   | BUY   | OTKAR    | 25    | 520.00     | 13000.00     |            - | 11926.41    
2025-09-03   | BUY   | SISE     | 311   | 38.26      | 11898.86     |            - | 27.55       
2025-09-17   | SELL  | BIOEN    | 428   | 27.00      | 11556.00     |     2465.28 | 11583.55    
2025-09-17   | BUY   | AHGAZ    | 357   | 32.42      | 11573.94     |            - | 9.61        
2025-10-01   | SELL  | AHGAZ    | 357   | 29.12      | 10395.84     |    -1178.10 | 10405.45    
2025-10-01   | BUY   | BRSAN    | 24    | 425.00     | 10200.00     |            - | 205.45      
2025-10-08   | SELL  | ALBRK    | 1289  | 7.73       | 9963.97      |     -953.86 | 10169.42    
2025-10-08   | SELL  | OTKAR    | 25    | 469.75     | 11743.75     |    -1256.25 | 21913.17    
2025-10-08   | SELL  | SISE     | 311   | 35.00      | 10885.00     |    -1013.86 | 32798.17    
2025-10-08   | BUY   | BIMAS    | 41    | 278.00     | 11398.00     |            - | 21400.17    
2025-10-08   | BUY   | BERA     | 627   | 18.23      | 11430.21     |            - | 9969.96     
2025-10-08   | BUY   | ISMEN    | 240   | 41.54      | 9969.60      |            - | 0.36        
2025-11-12   | SELL  | ISMEN    | 240   | 40.16      | 9638.40      |     -331.20 | 9638.76     
2025-11-12   | BUY   | CANTE    | 4341  | 2.22       | 9637.02      |            - | 1.74        
2025-11-26   | SELL  | BERA     | 627   | 16.03      | 10050.81     |    -1379.40 | 10052.55    
2025-11-26   | BUY   | SKBNK    | 1270  | 7.91       | 10045.70     |            - | 6.85        
2025-12-03   | SELL  | GLYHO    | 1588  | 12.01      | 19071.88     |     6907.80 | 19078.73    
2025-12-03   | BUY   | ALBRK    | 2343  | 8.14       | 19072.02     |            - | 6.71        
2025-12-31   | SELL  | CANTE    | 4341  | 2.00       | 8682.00      |     -955.02 | 8688.71     
2025-12-31   | BUY   | GUBRF    | 24    | 348.00     | 8352.00      |            - | 336.71      
2026-01-08   | SELL  | BRSAN    | 24    | 573.50     | 13764.00     |     3564.00 | 14100.71    
2026-01-08   | BUY   | KRDMD    | 520   | 27.08      | 14081.60     |            - | 19.11       
2026-01-22   | SELL  | GUBRF    | 24    | 432.00     | 10368.00     |     2016.00 | 10387.11    
2026-01-22   | BUY   | TSKB     | 799   | 12.99      | 10379.01     |            - | 8.10        
2026-01-29   | SELL  | BIMAS    | 41    | 337.50     | 13837.50     |     2439.50 | 13845.60    
2026-01-29   | BUY   | BERA     | 754   | 18.36      | 13843.44     |            - | 2.16        
2026-02-12   | SELL  | SKBNK    | 1270  | 10.56      | 13411.20     |     3365.50 | 13413.36    
2026-02-12   | SELL  | ALBRK    | 2343  | 9.71       | 22750.53     |     3678.51 | 36163.89    
2026-02-12   | BUY   | ISGYO    | 862   | 22.20      | 19136.40     |            - | 17027.49    
2026-02-12   | BUY   | KAYSE    | 3319  | 5.13       | 17026.47     |            - | 1.02        
2026-02-26   | SELL  | BERA     | 754   | 17.45      | 13157.30     |     -686.14 | 13158.32    
2026-02-26   | SELL  | KAYSE    | 3319  | 5.07       | 16827.33     |     -199.14 | 29985.65    
2026-02-26   | BUY   | ULKER    | 118   | 126.70     | 14950.60     |            - | 15035.05    
2026-02-26   | BUY   | CCOLA    | 209   | 71.60      | 14964.40     |            - | 70.65       
2026-03-05   | SELL  | TSKB     | 799   | 12.17      | 9723.83      |     -655.18 | 9794.48     
2026-03-05   | BUY   | GLYHO    | 659   | 14.86      | 9792.74      |            - | 1.74        
