====================================================================================================
BAHTIYAR BACKTEST RAPORU - SİSTEM PERFORMANSI TESTI
====================================================================================================

📊 TEST ÖZETİ
----------------------------------------------------------------------------------------------------
Test Dönemi:              2024-06-18 → 2026-06-18
Başlangıç Bütçesi:           100000.00 TL
Son Portföy Değeri:          106037.43 TL
Kar/Zarar:                     6037.43 TL  (+6.04%)
Maksimum Portföy Değeri:     111906.08 TL
Minimum Portföy Değeri:       63326.23 TL

💼 İŞLEM İSTATİSTİKLERİ
----------------------------------------------------------------------------------------------------
Toplam Alım Sayısı:                 80
Toplam Satış Sayısı:                75
Toplam Alım Tutarı:         1373965.60 TL
Toplam Satış Tutarı:        1273966.83 TL
Gerçekleşen Kar/Zarar:         6037.43 TL

📈 FİNAL DURUM (Test Sonunda)
----------------------------------------------------------------------------------------------------
Aktif Yatırım Pozisyonları: 5
Hisse Portföyü Değeri:         106036.20 TL
Kalan Nakit:                        1.23 TL
Toplam Portföy Değeri:         106037.43 TL

📊 AKTİF YATIRIM POZİSYONLARI
----------------------------------------------------------------------------------------------------
Ticker     | Lot    | Alış Fiyatı  | Alış Tarihi    
----------------------------------------------------------------------------------------------------
BTCIM      | 3140   | 6.22         | 2026-05-01
CIMSA      | 350    | 53.50        | 2026-05-15
YYLGD      | 1884   | 11.57        | 2026-05-22
TABGD      | 82     | 264.00       | 2026-05-22
VAKBN      | 746    | 32.62        | 2026-06-12

📋 İŞLEM GEÇMİŞİ (Son 100 İşlem)
----------------------------------------------------------------------------------------------------
Tarih        | Tip   | Ticker   | Lot   | Fiyat      | Tutar        | K/Z          | Kalan Bütçe 
----------------------------------------------------------------------------------------------------
2025-01-23   | BUY   | GARAN    | 112   | 133.50     | 14952.00     |            - | 15119.91    
2025-01-23   | BUY   | EKGYO    | 1043  | 14.49      | 15113.07     |            - | 6.84        
2025-02-20   | SELL  | TAVHL    | 50    | 248.30     | 12415.00     |    -1410.00 | 12421.84    
2025-02-20   | BUY   | CIMSA    | 244   | 50.75      | 12383.00     |            - | 38.84       
2025-02-27   | SELL  | KRDMD    | 502   | 27.34      | 13724.68     |     -230.92 | 13763.52    
2025-02-27   | BUY   | ALBRK    | 2024  | 6.80       | 13763.20     |            - | 0.32        
2025-03-20   | SELL  | VAKBN    | 828   | 23.60      | 19540.80     |      414.00 | 19541.12    
2025-03-20   | SELL  | GARAN    | 112   | 117.20     | 13126.40     |    -1825.60 | 32667.52    
2025-03-20   | SELL  | EKGYO    | 1043  | 13.50      | 14080.50     |    -1032.57 | 46748.02    
2025-03-20   | SELL  | ALBRK    | 2024  | 6.30       | 12751.20     |    -1012.00 | 59499.22    
2025-03-20   | BUY   | TTKOM    | 303   | 50.70      | 15362.10     |            - | 44137.12    
2025-03-20   | BUY   | GESAN    | 303   | 50.65      | 15346.95     |            - | 28790.17    
2025-03-20   | BUY   | ISMEN    | 325   | 47.16      | 15327.00     |            - | 13463.17    
2025-03-20   | BUY   | HALKB    | 661   | 20.36      | 13457.96     |            - | 5.21        
2025-03-27   | SELL  | GESAN    | 303   | 43.02      | 13035.06     |    -2311.89 | 13040.27    
2025-03-27   | BUY   | AHGAZ    | 629   | 20.70      | 13020.30     |            - | 19.97       
