====================================================================================================
BAHTIYAR BACKTEST RAPORU - SİSTEM PERFORMANSI TESTI
====================================================================================================

📊 TEST ÖZETİ
----------------------------------------------------------------------------------------------------
Test Dönemi:              2024-06-18 → 2026-06-18
Başlangıç Bütçesi:           100000.00 TL
Son Portföy Değeri:          188558.99 TL
Kar/Zarar:                    88558.99 TL  (+88.56%)
Maksimum Portföy Değeri:     212174.38 TL
Minimum Portföy Değeri:       66314.23 TL

💼 İŞLEM İSTATİSTİKLERİ
----------------------------------------------------------------------------------------------------
Toplam Alım Sayısı:                 46
Toplam Satış Sayısı:                41
Toplam Alım Tutarı:         1146302.04 TL
Toplam Satış Tutarı:        1046333.91 TL
Gerçekleşen Kar/Zarar:        88558.99 TL

📈 FİNAL DURUM (Test Sonunda)
----------------------------------------------------------------------------------------------------
Aktif Yatırım Pozisyonları: 5
Hisse Portföyü Değeri:         188527.13 TL
Kalan Nakit:                       31.86 TL
Toplam Portföy Değeri:         188558.99 TL

📊 AKTİF YATIRIM POZİSYONLARI
----------------------------------------------------------------------------------------------------
Ticker     | Lot    | Alış Fiyatı  | Alış Tarihi    
----------------------------------------------------------------------------------------------------
CIMSA      | 583    | 53.50        | 2026-05-15
YYLGD      | 3343   | 11.57        | 2026-05-22
TABGD      | 146    | 264.00       | 2026-05-22
TKFEN      | 305    | 126.20       | 2026-05-22
VAKBN      | 1276   | 32.62        | 2026-06-12

📋 İŞLEM GEÇMİŞİ (Son 100 İşlem)
----------------------------------------------------------------------------------------------------
Tarih        | Tip   | Ticker   | Lot   | Fiyat      | Tutar        | K/Z          | Kalan Bütçe 
----------------------------------------------------------------------------------------------------
2024-06-26   | BUY   | AHGAZ    | 1535  | 14.66      | 22503.10     |            - | 77496.90    
2024-06-26   | BUY   | ISDMR    | 519   | 37.42      | 19420.98     |            - | 58075.92    
2024-06-26   | BUY   | CCOLA    | 25    | 767.50     | 19187.50     |            - | 38888.42    
2024-06-26   | BUY   | VAKBN    | 860   | 22.60      | 19436.00     |            - | 19452.42    
2024-06-26   | BUY   | GLYHO    | 3986  | 4.88       | 19451.68     |            - | 0.74        
2024-07-17   | SELL  | AHGAZ    | 1535  | 13.43      | 20615.05     |    -1888.05 | 20615.79    
2024-07-17   | BUY   | BTCIM    | 4160  | 4.95       | 20612.13     |            - | 3.67        
2024-07-31   | SELL  | VAKBN    | 860   | 20.36      | 17509.60     |    -1926.40 | 17513.27    
2024-07-31   | SELL  | BTCIM    | 4160  | 5.96       | 24812.39     |     4200.26 | 42325.65    
2024-07-31   | BUY   | MGROS    | 40    | 527.50     | 21100.00     |            - | 21225.65    
2024-07-31   | BUY   | TCELL    | 201   | 105.60     | 21225.60     |            - | 0.05        
2024-08-07   | SELL  | ISDMR    | 519   | 35.44      | 18393.36     |    -1027.62 | 18393.41    
2024-08-07   | SELL  | CCOLA    | 25    | 69.05      | 1726.14      |   -17461.36 | 20119.55    
2024-08-07   | BUY   | GARAN    | 86    | 116.00     | 9976.00      |            - | 10143.55    
2024-08-07   | BUY   | ALBRK    | 1696  | 5.98       | 10142.08     |            - | 1.47        
2024-08-14   | SELL  | GLYHO    | 3986  | 4.70       | 18734.20     |     -717.48 | 18735.67    
2024-08-14   | BUY   | OYAKC    | 1027  | 18.23      | 18723.00     |            - | 12.67       
2024-08-28   | SELL  | MGROS    | 40    | 482.00     | 19280.00     |    -1820.00 | 19292.67    
2024-08-28   | SELL  | TCELL    | 201   | 97.05      | 19507.05     |    -1718.55 | 38799.72    
2024-08-28   | BUY   | EKGYO    | 1651  | 11.75      | 19399.25     |            - | 19400.47    
2024-08-28   | BUY   | KARSN    | 1136  | 17.07      | 19391.52     |            - | 8.95        
2024-09-11   | SELL  | GARAN    | 86    | 106.20     | 9133.20      |     -842.80 | 9142.15     
2024-09-11   | SELL  | OYAKC    | 1027  | 15.78      | 16208.17     |    -2514.83 | 25350.32    
2024-09-11   | SELL  | EKGYO    | 1651  | 10.77      | 17781.27     |    -1617.98 | 43131.59    
2024-09-11   | BUY   | TAVHL    | 59    | 262.25     | 15472.75     |            - | 27658.84    
2024-09-11   | BUY   | AKCNS    | 89    | 155.90     | 13875.10     |            - | 13783.74    
2024-09-11   | BUY   | AHGAZ    | 958   | 14.38      | 13776.04     |            - | 7.70        
2024-10-02   | SELL  | KARSN    | 1136  | 14.49      | 16460.64     |    -2930.88 | 16468.34    
2024-10-02   | SELL  | TAVHL    | 59    | 229.90     | 13564.10     |    -1908.65 | 30032.44    
2024-10-02   | BUY   | GUMUS    | 445   | 34.76      | 15469.39     |            - | 14563.04    
2024-10-02   | BUY   | ALTIN    | 5     | 2909.46    | 14547.28     |            - | 15.76       
2024-10-09   | SELL  | ALBRK    | 1696  | 5.53       | 9378.88      |     -763.20 | 9394.64     
2024-10-30   | SELL  | AHGAZ    | 958   | 19.32      | 18508.56     |     4732.52 | 27903.20    
2024-11-27   | SELL  | GUMUS    | 445   | 33.55      | 14928.78     |     -540.62 | 42831.98    
2024-12-04   | BUY   | VAKBN    | 649   | 23.10      | 14991.90     |            - | 27840.08    
2024-12-04   | BUY   | ISGYO    | 723   | 20.72      | 14980.56     |            - | 12859.52    
2024-12-04   | BUY   | KZBGY    | 5995  | 2.14       | 12859.27     |            - | 0.24        
2024-12-11   | SELL  | KZBGY    | 5995  | 1.95       | 11663.27     |    -1196.00 | 11663.52    
2024-12-11   | BUY   | TKFEN    | 152   | 76.55      | 11635.60     |            - | 27.92       
2025-01-02   | SELL  | ISGYO    | 723   | 18.90      | 13664.70     |    -1315.86 | 13692.61    
2025-01-02   | SELL  | TKFEN    | 152   | 64.85      | 9857.20      |    -1778.40 | 23549.81    
2025-01-02   | BUY   | KRDMD    | 429   | 27.80      | 11926.20     |            - | 11623.61    
2025-01-02   | BUY   | TAVHL    | 42    | 276.50     | 11613.00     |            - | 10.61       
2025-01-23   | SELL  | AKCNS    | 89    | 202.00     | 17978.00     |     4102.90 | 17988.61    
2025-01-23   | BUY   | GARAN    | 134   | 133.50     | 17889.00     |            - | 99.61       
2025-02-20   | SELL  | TAVHL    | 42    | 248.30     | 10428.60     |    -1184.40 | 10528.22    
2025-02-20   | BUY   | GUMUS    | 269   | 39.04      | 10501.56     |            - | 26.65       
2025-02-27   | SELL  | KRDMD    | 429   | 27.34      | 11728.86     |     -197.34 | 11755.51    
2025-03-06   | BUY   | MGROS    | 20    | 577.00     | 11540.00     |            - | 215.51      
2025-03-20   | SELL  | VAKBN    | 649   | 23.60      | 15316.40     |      324.50 | 15531.91    
2025-03-20   | SELL  | GARAN    | 134   | 117.20     | 15704.80     |    -2184.20 | 31236.71    
2025-03-20   | SELL  | MGROS    | 20    | 490.75     | 9815.00      |    -1725.00 | 41051.71    
2025-04-10   | SELL  | GUMUS    | 269   | 37.44      | 10070.02     |     -431.55 | 51121.73    
2025-05-15   | BUY   | GUMUS    | 1262  | 40.48      | 51091.60     |            - | 30.13       
2026-01-30   | SELL  | GUMUS    | 1262  | 109.38     | 138037.52    |    86945.92 | 138067.65   
2026-01-30   | BUY   | BERA     | 2045  | 18.02      | 36850.90     |            - | 101216.75   
2026-01-30   | BUY   | AKFGY    | 12485 | 2.95       | 36830.75     |            - | 64386.00    
2026-01-30   | BUY   | PNLSN    | 803   | 40.10      | 32200.30     |            - | 32185.70    
2026-01-30   | BUY   | ALARK    | 298   | 108.00     | 32184.00     |            - | 1.70        
2026-02-27   | SELL  | BERA     | 2045  | 17.23      | 35235.35     |    -1615.55 | 35237.05    
2026-02-27   | SELL  | ALARK    | 298   | 102.40     | 30515.20     |    -1668.80 | 65752.25    
2026-02-27   | BUY   | DOHOL    | 1634  | 20.12      | 32876.08     |            - | 32876.17    
2026-02-27   | BUY   | SAHOL    | 326   | 100.80     | 32860.80     |            - | 15.37       
2026-03-06   | SELL  | PNLSN    | 803   | 47.44      | 38094.32     |     5894.02 | 38109.69    
2026-03-06   | SELL  | SAHOL    | 326   | 90.00      | 29340.00     |    -3520.80 | 67449.69    
2026-03-06   | BUY   | ISDMR    | 823   | 41.00      | 33743.00     |            - | 33706.69    
2026-03-06   | BUY   | EREGL    | 1195  | 28.20      | 33699.00     |            - | 7.69        
2026-03-20   | SELL  | ALTIN    | 5     | 6510.06    | 32550.30     |    18003.01 | 32557.98    
2026-03-20   | BUY   | AKCNS    | 163   | 199.20     | 32469.60     |            - | 88.38       
2026-03-27   | SELL  | AKFGY    | 12485 | 2.72       | 33959.20     |    -2871.55 | 34047.58    
2026-03-27   | BUY   | TUPRS    | 141   | 240.50     | 33910.50     |            - | 137.08      
2026-05-08   | SELL  | DOHOL    | 1634  | 24.50      | 40033.00     |     7156.92 | 40170.08    
2026-05-08   | SELL  | ISDMR    | 823   | 58.25      | 47939.75     |    14196.75 | 88109.83    
2026-05-08   | SELL  | EREGL    | 1195  | 41.26      | 49305.70     |    15606.70 | 137415.53   
2026-05-08   | BUY   | KAYSE    | 9276  | 4.94       | 45823.44     |            - | 91592.09    
2026-05-08   | BUY   | SAHOL    | 458   | 100.00     | 45800.00     |            - | 45792.09    
2026-05-08   | BUY   | GWIND    | 1549  | 29.56      | 45788.44     |            - | 3.65        
2026-05-15   | SELL  | AKCNS    | 163   | 191.50     | 31214.50     |    -1255.10 | 31218.15    
2026-05-15   | BUY   | CIMSA    | 583   | 53.50      | 31190.50     |            - | 27.65       
2026-05-22   | SELL  | TUPRS    | 141   | 243.10     | 34277.10     |      366.60 | 34304.75    
2026-05-22   | SELL  | SAHOL    | 458   | 89.15      | 40830.70     |    -4969.30 | 75135.45    
2026-05-22   | SELL  | GWIND    | 1549  | 26.20      | 40583.80     |    -5204.64 | 115719.25   
2026-05-22   | BUY   | YYLGD    | 3343  | 11.57      | 38678.51     |            - | 77040.74    
2026-05-22   | BUY   | TABGD    | 146   | 264.00     | 38544.00     |            - | 38496.74    
