====================================================================================================
BAHTIYAR BACKTEST RAPORU - SİSTEM PERFORMANSI TESTI
====================================================================================================

📊 TEST ÖZETİ
----------------------------------------------------------------------------------------------------
Test Dönemi:              2025-06-23 → 2026-06-18
Başlangıç Bütçesi:            30000.00 TL
Son Portföy Değeri:           47359.48 TL
Kar/Zarar:                    17359.48 TL  (+57.86%)
Maksimum Portföy Değeri:      51536.94 TL
Minimum Portföy Değeri:       30000.00 TL

💼 İŞLEM İSTATİSTİKLERİ
----------------------------------------------------------------------------------------------------
Toplam Alım Sayısı:                 85
Toplam Satış Sayısı:                75
Toplam Alım Tutarı:          399380.03 TL
Toplam Satış Tutarı:         369428.53 TL
Gerçekleşen Kar/Zarar:        17359.48 TL

📈 FİNAL DURUM (Test Sonunda)
----------------------------------------------------------------------------------------------------
Aktif Yatırım Pozisyonları: 10
Hisse Portföyü Değeri:          47310.98 TL
Kalan Nakit:                       48.50 TL
Toplam Portföy Değeri:          47359.48 TL

📊 AKTİF YATIRIM POZİSYONLARI
----------------------------------------------------------------------------------------------------
Ticker     | Lot    | Alış Fiyatı  | Alış Tarihi    
----------------------------------------------------------------------------------------------------
AEFES      | 225    | 18.58        | 2026-05-21
SKBNK      | 405    | 12.84        | 2026-06-01
MIATK      | 86     | 49.44        | 2026-06-04
AGHOL      | 108    | 32.90        | 2026-06-04
TTKOM      | 90     | 62.30        | 2026-06-05
MAVI       | 79     | 43.54        | 2026-06-10
HALKB      | 132    | 45.24        | 2026-06-11
TOASO      | 17     | 283.00       | 2026-06-11
CCOLA      | 63     | 78.50        | 2026-06-11
GESAN      | 76     | 70.40        | 2026-06-18

📋 İŞLEM GEÇMİŞİ (Son 100 İşlem)
----------------------------------------------------------------------------------------------------
Tarih        | Tip   | Ticker   | Lot   | Fiyat      | Tutar        | K/Z          | Kalan Bütçe 
----------------------------------------------------------------------------------------------------
2026-02-19   | SELL  | SDTTR    | 30    | 233.30     | 6999.00      |     1224.00 | 25467.44    
2026-02-19   | SELL  | YYLGD    | 288   | 12.70      | 3657.60      |     -345.60 | 29125.04    
2026-02-19   | BUY   | MAVI     | 170   | 45.60      | 7752.00      |            - | 21373.04    
2026-02-19   | BUY   | EUPWR    | 203   | 37.82      | 7677.46      |            - | 13695.58    
2026-02-19   | BUY   | ULKER    | 54    | 126.60     | 6836.40      |            - | 6859.18     
2026-02-19   | BUY   | GWIND    | 268   | 25.50      | 6834.00      |            - | 25.18       
2026-02-24   | SELL  | TSKB     | 302   | 12.93      | 3904.86      |      -39.26 | 3930.04     
2026-02-24   | BUY   | OYAKC    | 155   | 25.28      | 3918.40      |            - | 11.64       
2026-02-27   | SELL  | ALARK    | 35    | 102.40     | 3584.00      |      127.75 | 3595.64     
2026-02-27   | BUY   | DOHOL    | 178   | 20.12      | 3581.36      |            - | 14.28       
2026-03-02   | SELL  | YKBNK    | 83    | 39.52      | 3280.16      |      546.14 | 3294.44     
2026-03-02   | SELL  | GARAN    | 25    | 146.30     | 3657.50      |     -100.00 | 6951.94     
2026-03-02   | SELL  | TABGD    | 11    | 250.00     | 2750.00      |      -90.75 | 9701.94     
2026-03-02   | SELL  | EUPWR    | 203   | 34.18      | 6938.54      |     -738.92 | 16640.48    
2026-03-02   | BUY   | AEFES    | 230   | 18.40      | 4232.00      |            - | 12408.48    
2026-03-02   | BUY   | CCOLA    | 59    | 69.75      | 4115.25      |            - | 8293.23     
2026-03-02   | BUY   | ISCTR    | 263   | 15.77      | 4147.51      |            - | 4145.72     
2026-03-02   | BUY   | TTKOM    | 63    | 65.80      | 4145.40      |            - | 0.32        
