====================================================================================================
BAHTIYAR BACKTEST RAPORU - SİSTEM PERFORMANSI TESTI
====================================================================================================

📊 TEST ÖZETİ
----------------------------------------------------------------------------------------------------
Test Dönemi:              2024-08-12 → 2026-08-12
Başlangıç Bütçesi:           100000.00 TL
Son Portföy Değeri:          226610.07 TL
Kar/Zarar:                   126610.07 TL  (+126.61%)
Maksimum Portföy Değeri:     255046.32 TL
Minimum Portföy Değeri:       94531.82 TL

💼 İŞLEM İSTATİSTİKLERİ
----------------------------------------------------------------------------------------------------
Toplam Alım Sayısı:                 70
Toplam Satış Sayısı:                65
Toplam Alım Tutarı:         2613127.83 TL
Toplam Satış Tutarı:        2513168.68 TL
Gerçekleşen Kar/Zarar:       126610.07 TL

📈 FİNAL DURUM (Test Sonunda)
----------------------------------------------------------------------------------------------------
Aktif Yatırım Pozisyonları: 5
Hisse Portföyü Değeri:         226569.22 TL
Kalan Nakit:                       40.85 TL
Toplam Portföy Değeri:         226610.07 TL

📊 AKTİF YATIRIM POZİSYONLARI
----------------------------------------------------------------------------------------------------
Ticker     | Lot    | Alış Fiyatı  | Alış Tarihi    
----------------------------------------------------------------------------------------------------
AGHOL      | 1856   | 32.30        | 2026-06-05
CCOLA      | 556    | 82.40        | 2026-07-06
EUPWR      | 427    | 90.10        | 2026-08-03
AKSA       | 2842   | 12.22        | 2026-08-10
CWENE      | 1156   | 41.18        | 2026-08-12

📋 İŞLEM GEÇMİŞİ (Son 100 İşlem)
----------------------------------------------------------------------------------------------------
Tarih        | Tip   | Ticker   | Lot   | Fiyat      | Tutar        | K/Z          | Kalan Bütçe 
----------------------------------------------------------------------------------------------------
2025-02-12   | SELL  | TSKB     | 1507  | 12.28      | 18505.96     |     -632.94 | 18507.52    
2025-02-12   | SELL  | EKGYO    | 1476  | 13.69      | 20206.44     |    -1180.80 | 38713.96    
2025-02-12   | BUY   | GUMUS    | 1023  | 37.84      | 38706.70     |            - | 7.26        
2025-03-19   | SELL  | VAKBN    | 942   | 25.30      | 23832.60     |     1789.80 | 23839.86    
2025-03-19   | SELL  | GARAN    | 159   | 125.30     | 19922.70     |    -1303.80 | 43762.56    
2025-04-04   | SELL  | GUMUS    | 1023  | 35.58      | 36395.43     |    -2311.27 | 80157.98    
2025-05-05   | BUY   | GUMUS    | 2007  | 39.94      | 80155.07     |            - | 2.91        
2025-10-21   | SELL  | GUMUS    | 2007  | 63.96      | 128377.18    |    48222.11 | 128380.09   
2025-10-21   | BUY   | DOHOL    | 1884  | 17.15      | 32310.60     |            - | 96069.49    
2025-10-21   | BUY   | TOASO    | 125   | 255.00     | 31875.00     |            - | 64194.49    
2025-10-21   | BUY   | CWENE    | 1460  | 21.98      | 32089.70     |            - | 32104.79    
2025-10-21   | BUY   | ECILC    | 361   | 88.90      | 32092.90     |            - | 11.89       
2025-11-04   | SELL  | TOASO    | 125   | 245.30     | 30662.50     |    -1212.50 | 30674.39    
2025-11-04   | BUY   | AKSA     | 2612  | 11.74      | 30664.88     |            - | 9.51        
2025-11-06   | SELL  | ECILC    | 361   | 80.30      | 28988.30     |    -3104.60 | 28997.81    
2025-11-06   | BUY   | ENJSA    | 372   | 77.90      | 28978.80     |            - | 19.01       
2025-11-11   | SELL  | AKSA     | 2612  | 10.70      | 27948.40     |    -2716.48 | 27967.41    
2025-11-11   | BUY   | BIMAS    | 100   | 277.50     | 27750.00     |            - | 217.41      
2026-01-05   | SELL  | ENJSA    | 372   | 92.75      | 34503.00     |     5524.20 | 34720.41    
2026-01-05   | BUY   | ISMEN    | 839   | 41.38      | 34717.82     |            - | 2.59        
2026-01-23   | SELL  | DOHOL    | 1884  | 20.58      | 38772.72     |     6462.12 | 38775.31    
2026-01-23   | BUY   | SISE     | 962   | 40.28      | 38749.36     |            - | 25.95       
2026-01-27   | SELL  | CWENE    | 1460  | 32.12      | 46895.20     |    14805.50 | 46921.15    
2026-01-27   | BUY   | YKBNK    | 1268  | 36.98      | 46890.64     |            - | 30.51       
2026-01-29   | SELL  | BIMAS    | 100   | 337.50     | 33750.00     |     6000.00 | 33780.51    
2026-01-29   | BUY   | BERA     | 1839  | 18.36      | 33764.04     |            - | 16.47       
2026-01-30   | SELL  | ALTIN    | 8     | 6585.85    | 52686.80     |    31056.65 | 52703.27    
2026-01-30   | BUY   | AKFGY    | 17865 | 2.95       | 52701.75     |            - | 1.52        
2026-02-05   | SELL  | SISE     | 962   | 47.54      | 45733.48     |     6984.12 | 45735.00    
2026-02-05   | BUY   | SDTTR    | 237   | 192.50     | 45622.50     |            - | 112.50      
2026-02-12   | SELL  | ISMEN    | 839   | 50.05      | 41991.95     |     7274.13 | 42104.45    
2026-02-12   | BUY   | ISGYO    | 1896  | 22.20      | 42091.20     |            - | 13.25       
2026-02-19   | SELL  | BERA     | 1839  | 18.20      | 33469.80     |     -294.24 | 33483.05    
2026-02-19   | SELL  | SDTTR    | 237   | 233.30     | 55292.10     |     9669.60 | 88775.15    
2026-02-19   | BUY   | MAVI     | 973   | 45.60      | 44368.80     |            - | 44406.36    
2026-02-19   | BUY   | EUPWR    | 1174  | 37.82      | 44400.68     |            - | 5.68        
2026-03-02   | SELL  | YKBNK    | 1268  | 39.52      | 50111.36     |     3220.72 | 50117.04    
2026-03-02   | SELL  | EUPWR    | 1174  | 34.18      | 40127.32     |    -4273.36 | 90244.36    
2026-03-02   | BUY   | AEFES    | 2455  | 18.40      | 45172.00     |            - | 45072.36    
2026-03-02   | BUY   | CCOLA    | 646   | 69.75      | 45058.50     |            - | 13.86       
