====================================================================================================
BAHTIYAR BACKTEST RAPORU - SİSTEM PERFORMANSI TESTI
====================================================================================================

📊 TEST ÖZETİ
----------------------------------------------------------------------------------------------------
Test Dönemi:              2024-08-12 → 2026-08-12
Başlangıç Bütçesi:           100000.00 TL
Son Portföy Değeri:          130731.18 TL
Kar/Zarar:                    30731.18 TL  (+30.73%)
Maksimum Portföy Değeri:     144557.78 TL
Minimum Portföy Değeri:       88826.81 TL

💼 İŞLEM İSTATİSTİKLERİ
----------------------------------------------------------------------------------------------------
Toplam Alım Sayısı:                100
Toplam Satış Sayısı:                95
Toplam Alım Tutarı:         2239765.36 TL
Toplam Satış Tutarı:        2139804.13 TL
Gerçekleşen Kar/Zarar:        30731.18 TL

📈 FİNAL DURUM (Test Sonunda)
----------------------------------------------------------------------------------------------------
Aktif Yatırım Pozisyonları: 5
Hisse Portföyü Değeri:         130692.42 TL
Kalan Nakit:                       38.76 TL
Toplam Portföy Değeri:         130731.18 TL

📊 AKTİF YATIRIM POZİSYONLARI
----------------------------------------------------------------------------------------------------
Ticker     | Lot    | Alış Fiyatı  | Alış Tarihi    
----------------------------------------------------------------------------------------------------
AGHOL      | 1157   | 32.30        | 2026-06-05
CCOLA      | 310    | 82.40        | 2026-07-06
EUPWR      | 223    | 90.10        | 2026-08-03
AKSA       | 1488   | 12.22        | 2026-08-10
CWENE      | 727    | 40.58        | 2026-08-12

📋 İŞLEM GEÇMİŞİ (Son 100 İşlem)
----------------------------------------------------------------------------------------------------
Tarih        | Tip   | Ticker   | Lot   | Fiyat      | Tutar        | K/Z          | Kalan Bütçe 
----------------------------------------------------------------------------------------------------
2025-09-09   | SELL  | MAVI     | 568   | 40.22      | 22844.96     |      136.32 | 22858.40    
2025-09-09   | BUY   | FROTO    | 222   | 102.90     | 22843.80     |            - | 14.60       
2025-09-10   | SELL  | ENKAI    | 250   | 66.45      | 16612.50     |      712.50 | 16627.10    
2025-09-10   | BUY   | PENTA    | 1016  | 16.35      | 16611.60     |            - | 15.50       
2025-09-29   | SELL  | PENTA    | 1016  | 15.87      | 16123.92     |     -487.68 | 16139.42    
2025-09-29   | BUY   | GUBRF    | 55    | 290.00     | 15950.00     |            - | 189.42      
2025-10-06   | SELL  | FROTO    | 222   | 96.55      | 21434.10     |    -1409.70 | 21623.52    
2025-10-06   | BUY   | PETKM    | 1144  | 18.90      | 21621.60     |            - | 1.92        
2025-10-07   | SELL  | ALBRK    | 4444  | 7.86       | 34929.84     |    -1777.60 | 34931.76    
2025-10-07   | BUY   | TABGD    | 154   | 225.40     | 34711.60     |            - | 220.16      
2025-10-16   | SELL  | THYAO    | 56    | 296.00     | 16576.00     |     -728.00 | 16796.16    
2025-10-16   | BUY   | KZBGY    | 3722  | 4.51       | 16793.66     |            - | 2.50        
2025-10-17   | SELL  | PETKM    | 1144  | 17.13      | 19596.72     |    -2024.88 | 19599.22    
2025-10-17   | BUY   | ASELS    | 100   | 194.90     | 19490.00     |            - | 109.22      
2025-11-06   | SELL  | ASELS    | 100   | 187.40     | 18740.00     |     -750.00 | 18849.22    
2025-11-06   | BUY   | ENJSA    | 241   | 77.90      | 18773.90     |            - | 75.32       
2025-11-10   | SELL  | KZBGY    | 3722  | 4.18       | 15576.57     |    -1217.09 | 15651.89    
2025-11-10   | BUY   | YKBNK    | 475   | 32.94      | 15646.50     |            - | 5.39        
2025-11-12   | SELL  | BERA     | 1044  | 17.40      | 18165.60     |      689.04 | 18170.99    
2025-11-12   | BUY   | CANTE    | 8185  | 2.22       | 18170.70     |            - | 0.29        
2025-11-13   | SELL  | TABGD    | 154   | 224.00     | 34496.00     |     -215.60 | 34496.29    
