====================================================================================================
BAHTIYAR BACKTEST RAPORU - SİSTEM PERFORMANSI TESTI
====================================================================================================

📊 TEST ÖZETİ
----------------------------------------------------------------------------------------------------
Test Dönemi:              2024-08-12 → 2026-08-12
Başlangıç Bütçesi:           100000.00 TL
Son Portföy Değeri:          152333.77 TL
Kar/Zarar:                    52333.77 TL  (+52.33%)
Maksimum Portföy Değeri:     171874.42 TL
Minimum Portföy Değeri:       80826.92 TL

💼 İŞLEM İSTATİSTİKLERİ
----------------------------------------------------------------------------------------------------
Toplam Alım Sayısı:                129
Toplam Satış Sayısı:               124
Toplam Alım Tutarı:         3227368.95 TL
Toplam Satış Tutarı:        3128985.58 TL
Gerçekleşen Kar/Zarar:        52333.77 TL

📈 FİNAL DURUM (Test Sonunda)
----------------------------------------------------------------------------------------------------
Aktif Yatırım Pozisyonları: 5
Hisse Portföyü Değeri:         150717.13 TL
Kalan Nakit:                     1616.63 TL
Toplam Portföy Değeri:         152333.77 TL

📊 AKTİF YATIRIM POZİSYONLARI
----------------------------------------------------------------------------------------------------
Ticker     | Lot    | Alış Fiyatı  | Alış Tarihi    
----------------------------------------------------------------------------------------------------
BIMAS      | 53     | 377.25       | 2026-06-05
BINBN      | 397    | 175.00       | 2026-06-10
IZFAS      | 291    | 64.90        | 2026-07-30
ESCOM      | 5167   | 5.94         | 2026-08-05
GUNDG      | 6      | 1945.00      | 2026-08-12

📋 İŞLEM GEÇMİŞİ (Son 100 İşlem)
----------------------------------------------------------------------------------------------------
Tarih        | Tip   | Ticker   | Lot   | Fiyat      | Tutar        | K/Z          | Kalan Bütçe 
----------------------------------------------------------------------------------------------------
2026-01-27   | SELL  | BORSK    | 5232  | 7.40       | 38716.80     |     7272.48 | 38721.65    
2026-01-27   | BUY   | RODRG    | 1772  | 21.84      | 38700.48     |            - | 21.17       
2026-01-29   | SELL  | BIMAS    | 57    | 337.50     | 19237.50     |     3462.75 | 19258.67    
2026-01-29   | BUY   | IZFAS    | 373   | 51.50      | 19209.50     |            - | 49.17       
2026-02-04   | SELL  | YUNSA    | 2463  | 9.26       | 22807.38     |     4211.73 | 22856.55    
2026-02-04   | BUY   | IZINV    | 336   | 68.00      | 22848.00     |            - | 8.55        
2026-02-12   | SELL  | ALBRK    | 2341  | 9.71       | 22731.11     |     3698.78 | 22739.66    
2026-02-12   | BUY   | ESCOM    | 5891  | 3.86       | 22739.26     |            - | 0.40        
2026-02-19   | SELL  | IZFAS    | 373   | 50.30      | 18761.90     |     -447.60 | 18762.30    
2026-02-19   | BUY   | KTLEV    | 1764  | 10.63      | 18758.17     |            - | 4.13        
2026-02-24   | SELL  | RODRG    | 1772  | 21.28      | 37708.16     |     -992.32 | 37712.29    
2026-02-24   | SELL  | ESCOM    | 5891  | 4.87       | 28689.17     |     5949.91 | 66401.46    
2026-02-24   | BUY   | BAHKM    | 343   | 113.50     | 38930.50     |            - | 27470.96    
2026-02-24   | BUY   | MPARK    | 58    | 473.00     | 27434.00     |            - | 36.96       
2026-02-25   | SELL  | IZINV    | 336   | 63.25      | 21252.00     |    -1596.00 | 21288.96    
2026-02-25   | BUY   | FZLGY    | 1699  | 12.53      | 21288.47     |            - | 0.49        
2026-03-03   | SELL  | MPARK    | 58    | 430.00     | 24940.00     |    -2494.00 | 24940.49    
2026-03-03   | BUY   | BIMAS    | 76    | 326.50     | 24814.00     |            - | 126.49      
2026-03-04   | SELL  | KTLEV    | 1764  | 12.77      | 22534.85     |     3776.67 | 22661.33    
2026-03-06   | BUY   | YUNSA    | 2540  | 8.92       | 22656.80     |            - | 4.53        
2026-03-13   | SELL  | YUNSA    | 2540  | 8.40       | 21336.00     |    -1320.80 | 21340.53    
2026-03-13   | BUY   | BORSK    | 3509  | 6.08       | 21334.72     |            - | 5.81        
2026-03-18   | SELL  | FZLGY    | 1699  | 16.19      | 27506.81     |     6218.34 | 27512.62    
2026-03-19   | BUY   | PENGD    | 3091  | 8.90       | 27509.90     |            - | 2.72        
2026-03-27   | SELL  | BAHKM    | 343   | 129.30     | 44349.90     |     5419.40 | 44352.63    
