====================================================================================================
BAHTIYAR BACKTEST RAPORU - SİSTEM PERFORMANSI TESTI
====================================================================================================

📊 TEST ÖZETİ
----------------------------------------------------------------------------------------------------
Test Dönemi:              2024-08-13 → 2026-08-13
Başlangıç Bütçesi:           100000.00 TL
Son Portföy Değeri:          167134.93 TL
Kar/Zarar:                    67134.93 TL  (+67.13%)
Maksimum Portföy Değeri:     173470.69 TL
Minimum Portföy Değeri:       80968.60 TL

💼 İŞLEM İSTATİSTİKLERİ
----------------------------------------------------------------------------------------------------
Toplam Alım Sayısı:                155
Toplam Satış Sayısı:               148
Toplam Alım Tutarı:         3200952.04 TL
Toplam Satış Tutarı:        3100955.00 TL
Gerçekleşen Kar/Zarar:        67134.93 TL

📈 FİNAL DURUM (Test Sonunda)
----------------------------------------------------------------------------------------------------
Aktif Yatırım Pozisyonları: 7
Hisse Portföyü Değeri:         167131.96 TL
Kalan Nakit:                        2.97 TL
Toplam Portföy Değeri:         167134.93 TL

📊 AKTİF YATIRIM POZİSYONLARI
----------------------------------------------------------------------------------------------------
Ticker     | Lot    | Alış Fiyatı  | Alış Tarihi    
----------------------------------------------------------------------------------------------------
BIMAS      | 49     | 377.25       | 2026-06-05
BINBN      | 1      | 175.10       | 2026-06-09
ESCOM      | 3153   | 5.29         | 2026-07-29
RODRG      | 1663   | 27.58        | 2026-08-07
BAHKM      | 285    | 120.80       | 2026-08-13
KTLEV      | 591    | 50.90        | 2026-08-13
DOFRB      | 152    | 140.90       | 2026-08-13

📋 İŞLEM GEÇMİŞİ (Son 100 İşlem)
----------------------------------------------------------------------------------------------------
Tarih        | Tip   | Ticker   | Lot   | Fiyat      | Tutar        | K/Z          | Kalan Bütçe 
----------------------------------------------------------------------------------------------------
2026-02-23   | SELL  | BAHKM    | 6     | 118.90     | 713.40       |      -64.80 | 2581.31     
2026-02-24   | SELL  | RODRG    | 142   | 21.28      | 3021.76      |        0.00 | 5603.07     
2026-02-24   | SELL  | ESCOM    | 26208 | 4.87       | 127632.96    |    30925.44 | 133236.03   
2026-02-25   | SELL  | IZINV    | 42    | 63.25      | 2656.50      |     -138.60 | 135892.53   
2026-02-26   | BUY   | YUNSA    | 15115 | 8.99       | 135883.85    |            - | 8.68        
2026-03-04   | SELL  | MPARK    | 1     | 419.50     | 419.50       |      -44.75 | 428.18      
2026-03-04   | BUY   | BIMAS    | 1     | 329.75     | 329.75       |            - | 98.43       
2026-03-13   | SELL  | YUNSA    | 15115 | 8.40       | 126965.99    |    -8917.85 | 127064.43   
2026-03-13   | BUY   | BORSK    | 20898 | 6.08       | 127059.84    |            - | 4.59        
2026-03-18   | SELL  | FZLGY    | 57    | 16.19      | 922.83       |      191.52 | 927.42      
2026-03-19   | BUY   | PENGD    | 72    | 8.90       | 640.80       |            - | 286.62      
2026-03-19   | BUY   | IZFAS    | 5     | 56.00      | 280.00       |            - | 6.62        
2026-03-26   | SELL  | EBEBK    | 13    | 58.90      | 765.70       |      -75.40 | 772.32      
2026-03-26   | BUY   | ESCOM    | 58    | 4.88       | 283.04       |            - | 489.28      
2026-03-26   | BUY   | BAHKM    | 2     | 133.60     | 267.20       |            - | 222.08      
2026-03-26   | BUY   | KTLEV    | 12    | 18.48      | 221.79       |            - | 0.29        
2026-03-30   | SELL  | ESCOM    | 58    | 4.27       | 247.66       |      -35.38 | 247.95      
2026-03-30   | SELL  | KTLEV    | 12    | 22.36      | 268.27       |       46.49 | 516.23      
2026-03-31   | BUY   | COSMO    | 2     | 235.10     | 470.20       |            - | 46.03       
2026-04-01   | SELL  | PENGD    | 72    | 11.12      | 800.64       |      159.84 | 846.67      
2026-04-01   | BUY   | GUNDG    | 1     | 807.50     | 807.50       |            - | 39.17       
2026-04-02   | SELL  | IZFAS    | 5     | 50.15      | 250.75       |      -29.25 | 289.92      
2026-04-07   | SELL  | COSMO    | 2     | 212.00     | 424.00       |      -46.20 | 713.92      
2026-04-07   | BUY   | MPARK    | 1     | 411.50     | 411.50       |            - | 302.42      
2026-04-08   | SELL  | BORSK    | 20898 | 7.44       | 155481.12    |    28421.28 | 155783.54   
2026-04-08   | SELL  | GUNDG    | 1     | 919.50     | 919.50       |      112.00 | 156703.04   
2026-04-13   | BUY   | ALBRK    | 17626 | 8.89       | 156695.15    |            - | 7.89        
2026-04-14   | SELL  | BAHKM    | 2     | 126.00     | 252.00       |      -15.20 | 259.89      
2026-04-17   | BUY   | YUNSA    | 29    | 8.92       | 258.68       |            - | 1.21        
2026-04-28   | SELL  | YUNSA    | 29    | 8.28       | 240.12       |      -18.56 | 241.33      
2026-04-28   | BUY   | FZLGY    | 11    | 14.31      | 157.41       |            - | 83.92       
2026-04-28   | BUY   | EBEBK    | 1     | 73.30      | 73.30        |            - | 10.62       
2026-04-29   | SELL  | MPARK    | 1     | 426.00     | 426.00       |       14.50 | 436.62      
2026-04-29   | BUY   | ESCOM    | 74    | 5.83       | 431.42       |            - | 5.20        
2026-05-06   | SELL  | BIMAS    | 1     | 390.50     | 390.50       |       60.75 | 395.70      
2026-05-06   | BUY   | IZFAS    | 2     | 60.55      | 121.10       |            - | 274.60      
2026-05-06   | BUY   | CELHA    | 12    | 13.84      | 166.08       |            - | 108.52      
2026-05-06   | BUY   | PENGD    | 7     | 14.85      | 103.95       |            - | 4.57        
2026-05-12   | SELL  | CELHA    | 12    | 12.82      | 153.84       |      -12.24 | 158.41      
2026-05-12   | BUY   | BORSK    | 21    | 7.35       | 154.35       |            - | 4.06        
2026-05-13   | SELL  | ESCOM    | 74    | 5.33       | 394.42       |      -37.00 | 398.48      
2026-05-13   | BUY   | COSMO    | 1     | 203.00     | 203.00       |            - | 195.48      
2026-05-14   | BUY   | KTLEV    | 5     | 38.09      | 190.44       |            - | 5.04        
2026-05-18   | SELL  | ALBRK    | 17626 | 8.24       | 145238.24    |   -11456.91 | 145243.28   
2026-05-18   | BUY   | GUNDG    | 160   | 907.50     | 145200.00    |            - | 43.28       
2026-05-19   | SELL  | KTLEV    | 5     | 38.09      | 190.44       |        0.00 | 233.72      
2026-05-20   | SELL  | COSMO    | 1     | 185.50     | 185.50       |      -17.50 | 419.22      
2026-05-20   | BUY   | BAHKM    | 3     | 113.30     | 339.90       |            - | 79.32       
2026-05-21   | SELL  | FZLGY    | 11    | 12.77      | 140.47       |      -16.94 | 219.79      
2026-05-21   | SELL  | PENGD    | 7     | 13.40      | 93.80        |      -10.15 | 313.59      
2026-05-21   | SELL  | BORSK    | 21    | 6.80       | 142.80       |      -11.55 | 456.39      
2026-05-21   | SELL  | GUNDG    | 160   | 1078.00    | 172480.00    |    27280.00 | 172936.39   
2026-05-25   | BUY   | IZINV    | 1357  | 68.60      | 93090.20     |            - | 79846.19    
2026-05-25   | BUY   | RODRG    | 2686  | 29.72      | 79827.92     |            - | 18.27       
2026-06-05   | SELL  | EBEBK    | 1     | 86.90      | 86.90        |       13.60 | 105.17      
2026-06-05   | SELL  | RODRG    | 2686  | 28.70      | 77088.20     |    -2739.72 | 77193.37    
2026-06-05   | BUY   | YUNSA    | 2165  | 10.19      | 22061.35     |            - | 55132.02    
2026-06-05   | BUY   | MPARK    | 41    | 442.00     | 18122.00     |            - | 37010.02    
2026-06-05   | BUY   | BIMAS    | 49    | 377.25     | 18485.25     |            - | 18524.77    
2026-06-05   | BUY   | EKSUN    | 2520  | 7.35       | 18522.00     |            - | 2.77        
2026-06-09   | SELL  | BAHKM    | 3     | 112.70     | 338.10       |       -1.80 | 340.87      
2026-06-09   | BUY   | BINBN    | 1     | 175.10     | 175.10       |            - | 165.77      
2026-06-10   | SELL  | IZINV    | 1357  | 62.30      | 84541.10     |    -8549.10 | 84706.87    
2026-06-11   | SELL  | IZFAS    | 2     | 60.75      | 121.50       |        0.40 | 84828.37    
2026-06-11   | BUY   | CELHA    | 5301  | 16.00      | 84816.00     |            - | 12.37       
2026-06-15   | SELL  | CELHA    | 5301  | 14.70      | 77924.70     |    -6891.30 | 77937.07    
2026-06-15   | BUY   | ESCOM    | 13917 | 5.60       | 77935.20     |            - | 1.87        
2026-06-19   | SELL  | EKSUN    | 2520  | 6.65       | 16758.00     |    -1764.00 | 16759.87    
2026-06-19   | BUY   | ALBRK    | 1948  | 8.60       | 16752.80     |            - | 7.07        
2026-06-25   | SELL  | ESCOM    | 13917 | 5.87       | 81692.79     |     3757.59 | 81699.86    
2026-06-25   | BUY   | KTLEV    | 815   | 50.39      | 41067.62     |            - | 40632.24    
2026-06-25   | BUY   | GUNDG    | 28    | 1450.00    | 40600.00     |            - | 32.24       
2026-06-30   | SELL  | YUNSA    | 2165  | 9.54       | 20654.10     |    -1407.25 | 20686.34    
2026-06-30   | BUY   | DOFRB    | 113   | 182.30     | 20599.90     |            - | 86.44       
2026-07-01   | SELL  | GUNDG    | 28    | 1730.00    | 48440.00     |     7840.00 | 48526.44    
2026-07-03   | SELL  | ALBRK    | 1948  | 8.06       | 15700.88     |    -1051.92 | 64227.33    
2026-07-06   | SELL  | DOFRB    | 113   | 171.00     | 19323.00     |    -1276.90 | 83550.33    
2026-07-06   | BUY   | RODRG    | 3003  | 27.82      | 83543.46     |            - | 6.87        
2026-07-08   | SELL  | RODRG    | 3003  | 24.98      | 75014.94     |    -8528.52 | 75021.80    
2026-07-08   | BUY   | EBEBK    | 1002  | 74.80      | 74949.60     |            - | 72.20       
2026-07-09   | SELL  | KTLEV    | 815   | 57.66      | 46996.39     |     5928.77 | 47068.59    
2026-07-09   | BUY   | BAHKM    | 238   | 121.50     | 28917.00     |            - | 18151.59    
2026-07-09   | BUY   | PENGD    | 1694  | 10.71      | 18142.74     |            - | 8.85        
2026-07-14   | SELL  | BAHKM    | 238   | 115.50     | 27489.00     |    -1428.00 | 27497.85    
2026-07-15   | BUY   | CELHA    | 1268  | 21.68      | 27490.24     |            - | 7.61        
2026-07-22   | SELL  | MPARK    | 41    | 407.75     | 16717.75     |    -1404.25 | 16725.36    
2026-07-22   | BUY   | EKSUN    | 2300  | 7.27       | 16721.00     |            - | 4.36        
2026-07-24   | SELL  | EKSUN    | 2300  | 6.61       | 15203.00     |    -1518.00 | 15207.36    
2026-07-24   | BUY   | IZFAS    | 237   | 64.10      | 15191.70     |            - | 15.66       
2026-07-29   | SELL  | PENGD    | 1694  | 9.84       | 16668.96     |    -1473.78 | 16684.62    
2026-07-29   | BUY   | ESCOM    | 3153  | 5.29       | 16679.37     |            - | 5.25        
2026-08-03   | SELL  | IZFAS    | 237   | 63.95      | 15156.15     |      -35.55 | 15161.40    
2026-08-04   | SELL  | EBEBK    | 1002  | 90.80      | 90981.60     |    16032.00 | 106143.01   
2026-08-07   | BUY   | GUNDG    | 33    | 1826.00    | 60258.00     |            - | 45885.01    
2026-08-07   | BUY   | RODRG    | 1663  | 27.58      | 45865.54     |            - | 19.47       
2026-08-13   | SELL  | CELHA    | 1268  | 23.90      | 30305.20     |     2814.96 | 30324.67    
2026-08-13   | SELL  | GUNDG    | 33    | 1685.00    | 55605.00     |    -4653.00 | 85929.67    
2026-08-13   | BUY   | BAHKM    | 285   | 120.80     | 34428.00     |            - | 51501.67    
2026-08-13   | BUY   | KTLEV    | 591   | 50.90      | 30081.90     |            - | 21419.76    
2026-08-13   | BUY   | DOFRB    | 152   | 140.90     | 21416.80     |            - | 2.97        

====================================================================================================
Test Tamamlandı - Raporun Üretilme Tarihi: 13.08.2026 11:06:48
====================================================================================================
