====================================================================================================
BAHTIYAR BACKTEST RAPORU - SİSTEM PERFORMANSI TESTI
====================================================================================================

📊 TEST ÖZETİ
----------------------------------------------------------------------------------------------------
Test Dönemi:              2025-03-31 → 2026-08-13
Başlangıç Bütçesi:           100000.00 TL
Son Portföy Değeri:          163840.90 TL
Kar/Zarar:                    63840.90 TL  (+63.84%)
Maksimum Portföy Değeri:     179801.84 TL
Minimum Portföy Değeri:       96110.29 TL

💼 İŞLEM İSTATİSTİKLERİ
----------------------------------------------------------------------------------------------------
Toplam Alım Sayısı:                130
Toplam Satış Sayısı:               124
Toplam Alım Tutarı:         2125119.00 TL
Toplam Satış Tutarı:        2025120.53 TL
Gerçekleşen Kar/Zarar:        63840.90 TL

📈 FİNAL DURUM (Test Sonunda)
----------------------------------------------------------------------------------------------------
Aktif Yatırım Pozisyonları: 6
Hisse Portföyü Değeri:         163839.37 TL
Kalan Nakit:                        1.53 TL
Toplam Portföy Değeri:         163840.90 TL

📊 AKTİF YATIRIM POZİSYONLARI
----------------------------------------------------------------------------------------------------
Ticker     | Lot    | Alış Fiyatı  | Alış Tarihi    
----------------------------------------------------------------------------------------------------
BINBN      | 514    | 175.10       | 2026-06-09
BIMAS      | 9      | 383.25       | 2026-06-19
RODRG      | 1954   | 27.58        | 2026-08-07
KTLEV      | 129    | 51.00        | 2026-08-13
BAHKM      | 45     | 120.00       | 2026-08-13
DOFRB      | 32     | 141.20       | 2026-08-13

📋 İŞLEM GEÇMİŞİ (Son 100 İşlem)
----------------------------------------------------------------------------------------------------
Tarih        | Tip   | Ticker   | Lot   | Fiyat      | Tutar        | K/Z          | Kalan Bütçe 
----------------------------------------------------------------------------------------------------
2026-02-25   | SELL  | IZINV    | 2     | 63.25      | 126.50       |       -5.50 | 137847.97   
2026-03-02   | BUY   | BIMAS    | 408   | 337.25     | 137598.00    |            - | 249.97      
2026-03-03   | BUY   | COSMO    | 1     | 196.40     | 196.40       |            - | 53.57       
2026-03-04   | SELL  | MPARK    | 6     | 419.50     | 2517.00      |     -268.50 | 2570.57     
2026-03-06   | BUY   | IZFAS    | 48    | 52.90      | 2539.20      |            - | 31.37       
2026-03-18   | SELL  | FZLGY    | 243   | 16.19      | 3934.17      |      816.48 | 3965.54     
2026-03-18   | BUY   | YUNSA    | 238   | 8.32       | 1980.16      |            - | 1985.38     
2026-03-18   | BUY   | BORSK    | 327   | 6.07       | 1984.89      |            - | 0.49        
2026-03-26   | SELL  | EBEBK    | 57    | 58.90      | 3357.30      |     -330.60 | 3357.79     
2026-03-26   | BUY   | PENGD    | 154   | 9.15       | 1409.10      |            - | 1948.69     
2026-03-26   | BUY   | ESCOM    | 141   | 4.88       | 688.08       |            - | 1260.61     
2026-03-26   | BUY   | BAHKM    | 5     | 133.60     | 668.00       |            - | 592.61      
2026-03-26   | BUY   | KTLEV    | 32    | 18.48      | 591.43       |            - | 1.18        
2026-03-30   | SELL  | ESCOM    | 141   | 4.27       | 602.07       |      -86.01 | 603.25      
2026-03-30   | SELL  | KTLEV    | 32    | 22.36      | 715.39       |      123.96 | 1318.64     
2026-04-01   | SELL  | PENGD    | 154   | 11.12      | 1712.48      |      303.38 | 3031.12     
2026-04-01   | BUY   | GUNDG    | 3     | 807.50     | 2422.50      |            - | 608.62      
2026-04-02   | SELL  | IZFAS    | 48    | 50.15      | 2407.20      |     -132.00 | 3015.82     
2026-04-03   | BUY   | MPARK    | 7     | 408.00     | 2856.00      |            - | 159.82      
2026-04-07   | SELL  | COSMO    | 1     | 212.00     | 212.00       |       15.60 | 371.82      
2026-04-08   | SELL  | BORSK    | 327   | 7.44       | 2432.88      |      447.99 | 2804.70     
2026-04-08   | SELL  | GUNDG    | 3     | 919.50     | 2758.50      |      336.00 | 5563.20     
2026-04-13   | BUY   | ALBRK    | 625   | 8.89       | 5556.25      |            - | 6.95        
2026-04-14   | SELL  | BAHKM    | 5     | 126.00     | 630.00       |      -38.00 | 636.95      
2026-04-24   | BUY   | FZLGY    | 41    | 15.22      | 624.02       |            - | 12.93       
2026-04-28   | SELL  | YUNSA    | 238   | 8.28       | 1970.64      |       -9.52 | 1983.57     
2026-04-28   | BUY   | EBEBK    | 27    | 73.30      | 1979.10      |            - | 4.47        
2026-04-29   | SELL  | MPARK    | 7     | 426.00     | 2982.00      |      126.00 | 2986.47     
2026-04-29   | BUY   | ESCOM    | 512   | 5.83       | 2984.96      |            - | 1.51        
2026-05-13   | SELL  | ESCOM    | 512   | 5.33       | 2728.96      |     -256.00 | 2730.47     
2026-05-13   | BUY   | BORSK    | 92    | 7.18       | 660.56       |            - | 2069.91     
2026-05-13   | BUY   | CELHA    | 42    | 12.62      | 530.04       |            - | 1539.87     
2026-05-13   | BUY   | IZFAS    | 7     | 62.15      | 435.05       |            - | 1104.82     
2026-05-13   | BUY   | GUNDG    | 1     | 898.00     | 898.00       |            - | 206.82      
