====================================================================================================
BAHTIYAR BACKTEST RAPORU - SİSTEM PERFORMANSI TESTI
====================================================================================================

📊 TEST ÖZETİ
----------------------------------------------------------------------------------------------------
Test Dönemi:              2024-08-16 → 2026-08-16
Başlangıç Bütçesi:           100000.00 TL
Son Portföy Değeri:          479708.11 TL
Kar/Zarar:                   379708.11 TL  (+379.71%)
Maksimum Portföy Değeri:     561830.32 TL
Minimum Portföy Değeri:       90278.29 TL

💼 İŞLEM İSTATİSTİKLERİ
----------------------------------------------------------------------------------------------------
Toplam Alım Sayısı:                140
Toplam Satış Sayısı:               135
Toplam Alım Tutarı:         4219109.89 TL
Toplam Satış Tutarı:        4119214.32 TL
Gerçekleşen Kar/Zarar:       378892.04 TL

📈 FİNAL DURUM (Test Sonunda)
----------------------------------------------------------------------------------------------------
Aktif Yatırım Pozisyonları: 5
Hisse Portföyü Değeri:         479603.68 TL
Kalan Nakit:                      104.43 TL
Toplam Portföy Değeri:         479708.11 TL

📊 AKTİF YATIRIM POZİSYONLARI
----------------------------------------------------------------------------------------------------
Ticker     | Lot    | Alış Fiyatı  | Alış Tarihi    
----------------------------------------------------------------------------------------------------
CELHA      | 2405   | 24.50        | 2026-07-23
ESCOM      | 19047  | 5.80         | 2026-08-07
RODRG      | 4030   | 26.30        | 2026-08-10
BAHKM      | 906    | 120.50       | 2026-08-12
MPARK      | 218    | 432.25       | 2026-08-12

📋 İŞLEM GEÇMİŞİ (Son 100 İşlem)
----------------------------------------------------------------------------------------------------
Tarih        | Tip   | Ticker   | Lot   | Fiyat      | Tutar        | K/Z          | Kalan Bütçe 
----------------------------------------------------------------------------------------------------
2025-11-10   | BUY   | BORSK    | 4378  | 6.20       | 27143.60     |            - | 21328.04    
2025-11-10   | BUY   | KRGYO    | 6218  | 3.43       | 21327.74     |            - | 0.30        
2025-11-11   | SELL  | KRGYO    | 6218  | 3.33       | 20705.94     |     -621.80 | 20706.24    
2025-11-11   | BUY   | BIMAS    | 74    | 277.50     | 20535.00     |            - | 171.24      
2025-11-12   | SELL  | COSMO    | 151   | 152.00     | 22952.00     |    -2687.80 | 23123.24    
2025-11-17   | BUY   | COSMO    | 135   | 171.20     | 23112.00     |            - | 11.24       
2025-11-21   | SELL  | BORSK    | 4378  | 5.84       | 25567.52     |    -1576.08 | 25578.76    
2025-11-21   | BUY   | ESCOM    | 7457  | 3.43       | 25577.51     |            - | 1.25        
2025-11-24   | SELL  | BIMAS    | 74    | 267.50     | 19795.00     |     -740.00 | 19796.25    
2025-11-24   | BUY   | BAHKM    | 343   | 57.60      | 19756.80     |            - | 39.45       
2025-11-25   | SELL  | ESCOM    | 7457  | 3.22       | 24011.54     |    -1565.97 | 24050.99    
2025-11-25   | BUY   | GUNDG    | 170   | 141.00     | 23970.00     |            - | 80.99       
2025-11-26   | SELL  | COSMO    | 135   | 157.00     | 21195.00     |    -1917.00 | 21275.99    
2025-11-26   | BUY   | EBEBK    | 388   | 54.70      | 21223.60     |            - | 52.39       
2025-12-10   | SELL  | BAHKM    | 343   | 57.95      | 19876.85     |      120.05 | 19929.24    
2025-12-10   | BUY   | BINBN    | 104   | 190.50     | 19812.00     |            - | 117.24      
2025-12-17   | SELL  | YUNSA    | 3182  | 8.03       | 25551.46     |      954.60 | 25668.70    
2025-12-17   | BUY   | COSMO    | 133   | 191.80     | 25509.40     |            - | 159.30      
2025-12-18   | SELL  | GUNDG    | 170   | 196.70     | 33439.00     |     9469.00 | 33598.30    
2025-12-18   | SELL  | BINBN    | 104   | 185.00     | 19240.00     |     -572.00 | 52838.30    
2025-12-18   | BUY   | BORSK    | 4257  | 6.42       | 27329.94     |            - | 25508.36    
2025-12-18   | BUY   | ALBRK    | 3099  | 8.23       | 25504.77     |            - | 3.59        
2025-12-23   | SELL  | EBEBK    | 388   | 54.40      | 21107.20     |     -116.40 | 21110.79    
2025-12-23   | BUY   | BAHKM    | 335   | 62.85      | 21054.75     |            - | 56.04       
2025-12-24   | SELL  | ALBRK    | 3099  | 7.92       | 24544.08     |     -960.69 | 24600.12    
2025-12-24   | BUY   | ESCOM    | 7235  | 3.40       | 24599.00     |            - | 1.12        
2025-12-29   | SELL  | BORSK    | 4257  | 5.81       | 24733.17     |    -2596.77 | 24734.29    
2025-12-29   | BUY   | GUNDG    | 93    | 263.50     | 24505.50     |            - | 228.79      
2026-01-19   | SELL  | GUNDG    | 93    | 225.00     | 20925.00     |    -3580.50 | 21153.79    
2026-01-19   | BUY   | BIMAS    | 68    | 310.50     | 21114.00     |            - | 39.79       
2026-01-23   | SELL  | KTLEV    | 6834  | 10.37      | 70853.15     |    48178.52 | 70892.94    
2026-01-23   | BUY   | CELHA    | 5907  | 12.00      | 70884.00     |            - | 8.94        
2026-01-26   | SELL  | CELHA    | 5907  | 11.96      | 70647.72     |     -236.28 | 70656.66    
2026-01-26   | BUY   | ALBRK    | 8206  | 8.61       | 70653.66     |            - | 3.00        
2026-01-29   | SELL  | COSMO    | 133   | 242.30     | 32225.90     |     6716.50 | 32228.90    
2026-01-29   | BUY   | RODRG    | 1407  | 22.90      | 32220.30     |            - | 8.60        
2026-02-03   | SELL  | RODRG    | 1407  | 21.56      | 30334.92     |    -1885.38 | 30343.52    
2026-02-03   | BUY   | YUNSA    | 3440  | 8.82       | 30340.80     |            - | 2.72        
2026-02-24   | SELL  | BAHKM    | 335   | 113.50     | 38022.50     |    16967.75 | 38025.22    
2026-02-24   | BUY   | EBEBK    | 591   | 64.25      | 37971.75     |            - | 53.47       
2026-02-26   | SELL  | YUNSA    | 3440  | 8.99       | 30925.60     |      584.80 | 30979.07    
2026-02-26   | BUY   | KTLEV    | 2645  | 11.71      | 30973.70     |            - | 5.37        
