====================================================================================================
BAHTIYAR BACKTEST RAPORU - SİSTEM PERFORMANSI TESTI
====================================================================================================

📊 TEST ÖZETİ
----------------------------------------------------------------------------------------------------
Test Dönemi:              2025-08-18 → 2026-08-13
Başlangıç Bütçesi:           100000.00 TL
Son Portföy Değeri:          109705.48 TL
Kar/Zarar:                     9705.48 TL  (+9.71%)
Maksimum Portföy Değeri:     144472.26 TL
Minimum Portföy Değeri:       97411.06 TL

💼 İŞLEM İSTATİSTİKLERİ
----------------------------------------------------------------------------------------------------
Toplam Alım Sayısı:                 59
Toplam Satış Sayısı:                54
Toplam Alım Tutarı:         1386375.20 TL
Toplam Satış Tutarı:        1286409.19 TL
Gerçekleşen Kar/Zarar:        12130.48 TL

📈 FİNAL DURUM (Test Sonunda)
----------------------------------------------------------------------------------------------------
Aktif Yatırım Pozisyonları: 5
Hisse Portföyü Değeri:         109671.50 TL
Kalan Nakit:                       33.98 TL
Toplam Portföy Değeri:         109705.48 TL

📊 AKTİF YATIRIM POZİSYONLARI
----------------------------------------------------------------------------------------------------
Ticker     | Lot    | Alış Fiyatı  | Alış Tarihi    
----------------------------------------------------------------------------------------------------
BIMAS      | 82     | 392.75       | 2026-05-20
BAHKM      | 196    | 117.20       | 2026-07-21
BINBN      | 108    | 180.20       | 2026-07-29
EBEBK      | 265    | 84.40        | 2026-07-30
IZFAS      | 236    | 63.95        | 2026-08-03

📋 İŞLEM GEÇMİŞİ (Son 100 İşlem)
----------------------------------------------------------------------------------------------------
Tarih        | Tip   | Ticker   | Lot   | Fiyat      | Tutar        | K/Z          | Kalan Bütçe 
----------------------------------------------------------------------------------------------------
2025-09-12   | SELL  | BAHKM    | 274   | 49.50      | 13563.00     |    -1986.50 | 13602.09    
2025-09-12   | BUY   | EKSUN    | 2125  | 6.40       | 13600.00     |            - | 2.09        
2025-09-16   | SELL  | EKSUN    | 2125  | 6.90       | 14662.50     |     1062.50 | 14664.59    
2025-09-16   | BUY   | RODRG    | 512   | 28.60      | 14643.20     |            - | 21.39       
2025-09-24   | SELL  | RODRG    | 512   | 24.50      | 12544.00     |    -2099.20 | 12565.39    
2025-09-24   | BUY   | GUNDG    | 134   | 93.60      | 12542.40     |            - | 22.99       
2025-10-08   | SELL  | BORSK    | 4058  | 5.47       | 22197.26     |    -3266.69 | 22220.24    
2025-10-08   | SELL  | GUNDG    | 134   | 110.90     | 14860.60     |     2318.20 | 37080.84    
2025-10-08   | BUY   | COSMO    | 124   | 150.00     | 18600.00     |            - | 18480.84    
2025-10-08   | BUY   | IZINV    | 233   | 79.30      | 18476.90     |            - | 3.94        
2025-10-10   | SELL  | IZINV    | 233   | 70.50      | 16426.50     |    -2050.40 | 16430.44    
2025-10-10   | BUY   | YUNSA    | 2114  | 7.77       | 16425.78     |            - | 4.66        
2025-10-30   | SELL  | BIMAS    | 62    | 266.00     | 16492.00     |      713.00 | 16496.66    
2025-10-30   | BUY   | KTLEV    | 3934  | 4.19       | 16496.16     |            - | 0.51        
2025-11-07   | SELL  | YUNSA    | 2114  | 8.87       | 18751.18     |     2325.40 | 18751.69    
2025-11-07   | BUY   | ESCOM    | 5327  | 3.52       | 18751.04     |            - | 0.65        
2025-11-11   | SELL  | COSMO    | 124   | 154.00     | 19096.00     |      496.00 | 19096.65    
2025-11-11   | SELL  | KTLEV    | 3934  | 4.93       | 19392.88     |     2896.72 | 38489.52    
