====================================================================================================
BAHTIYAR BACKTEST RAPORU - SİSTEM PERFORMANSI TESTI
====================================================================================================

📊 TEST ÖZETİ
----------------------------------------------------------------------------------------------------
Test Dönemi:              2025-08-18 → 2026-08-13
Başlangıç Bütçesi:           100000.00 TL
Son Portföy Değeri:          175572.68 TL
Kar/Zarar:                    75572.68 TL  (+75.57%)
Maksimum Portföy Değeri:     199169.23 TL
Minimum Portföy Değeri:      100000.00 TL

💼 İŞLEM İSTATİSTİKLERİ
----------------------------------------------------------------------------------------------------
Toplam Alım Sayısı:                 62
Toplam Satış Sayısı:                57
Toplam Alım Tutarı:         1880820.99 TL
Toplam Satış Tutarı:        1780881.38 TL
Gerçekleşen Kar/Zarar:        79763.13 TL

📈 FİNAL DURUM (Test Sonunda)
----------------------------------------------------------------------------------------------------
Aktif Yatırım Pozisyonları: 5
Hisse Portföyü Değeri:         175512.30 TL
Kalan Nakit:                       60.38 TL
Toplam Portföy Değeri:         175572.68 TL

📊 AKTİF YATIRIM POZİSYONLARI
----------------------------------------------------------------------------------------------------
Ticker     | Lot    | Alış Fiyatı  | Alış Tarihi    
----------------------------------------------------------------------------------------------------
BIMAS      | 116    | 392.75       | 2026-05-20
BAHKM      | 329    | 117.70       | 2026-07-28
BINBN      | 175    | 180.20       | 2026-07-29
EBEBK      | 591    | 84.40        | 2026-07-30
IZFAS      | 219    | 63.95        | 2026-08-03

📋 İŞLEM GEÇMİŞİ (Son 100 İşlem)
----------------------------------------------------------------------------------------------------
Tarih        | Tip   | Ticker   | Lot   | Fiyat      | Tutar        | K/Z          | Kalan Bütçe 
----------------------------------------------------------------------------------------------------
2025-10-30   | SELL  | BIMAS    | 78    | 266.00     | 20748.00     |      897.00 | 20888.71    
2025-10-30   | BUY   | GUNDG    | 208   | 100.00     | 20800.00     |            - | 88.71       
2025-11-10   | SELL  | KTLEV    | 5550  | 4.79       | 26571.26     |     5974.02 | 26659.97    
2025-11-10   | SELL  | GUNDG    | 208   | 91.75      | 19084.00     |    -1716.00 | 45743.97    
2025-11-10   | BUY   | ESCOM    | 7231  | 3.35       | 24223.85     |            - | 21520.12    
2025-11-10   | BUY   | YUNSA    | 2362  | 9.11       | 21517.82     |            - | 2.30        
2025-11-11   | SELL  | COSMO    | 161   | 154.00     | 24794.00     |      644.00 | 24796.30    
2025-11-11   | BUY   | BIMAS    | 89    | 277.50     | 24697.50     |            - | 98.80       
2025-11-27   | SELL  | BOSSA    | 4199  | 6.66       | 27965.34     |    -3485.17 | 28064.14    
2025-11-27   | BUY   | KTLEV    | 5850  | 4.80       | 28059.44     |            - | 4.70        
2025-12-02   | SELL  | KTLEV    | 5850  | 5.26       | 30775.43     |     2715.99 | 30780.13    
2025-12-02   | BUY   | BAHKM    | 543   | 56.60      | 30733.80     |            - | 46.33       
2025-12-09   | SELL  | ESCOM    | 7231  | 3.05       | 22054.55     |    -2169.30 | 22100.88    
2025-12-09   | BUY   | COSMO    | 120   | 183.70     | 22044.00     |            - | 56.88       
2025-12-11   | SELL  | BAHKM    | 543   | 52.20      | 28344.60     |    -2389.20 | 28401.48    
2025-12-11   | BUY   | IZINV    | 410   | 69.15      | 28351.50     |            - | 49.98       
