================================================================================================================================
                                                 REAL PORTFÖYÜ - İŞLEM GEÇMİŞİ                                                  
================================================================================================================================
Tarih                | İşlem Tipi           | Hisse  | Lot    | Fiyat (TL) | Tutar (TL)   | K/Z (TL)   | K/Z (%)  | Bütçe (TL)  
--------------------------------------------------------------------------------------------------------------------------------
2026-08-17 10:03:03  | Bütçe Güncelleme     | -      | -      | -          | 10000.00     | -          | -        | 10000.00    
2026-08-17 10:15:54  | Hisse Alım (lot)     | BAHKM  | 18     | 122.30     | -2201.40     | -          | -        | 7798.60     
2026-08-17 10:16:11  | Hisse Alım (lot)     | BOSSA  | 308    | 7.03       | -2165.24     | -          | -        | 5633.36     
2026-08-17 10:16:39  | Manuel Hisse Ekleme  | ESCOM  | 338    | 6.15       | -2078.70     | -          | -        | 3554.66     
2026-08-17 10:16:57  | Manuel Hisse Ekleme  | KTLEV  | 34     | 55.70      | -1893.80     | -          | -        | 1660.86     
2026-08-17 10:17:13  | Manuel Hisse Ekleme  | ALBRK  | 210    | 8.27       | -1736.70     | -          | -        | -75.84      
2026-08-17 10:17:20  | Portföy Değerlemesi  | -      | -      | -          | 10064.32     | -11.52     | %-0.11   | -75.84      
2026-08-17 10:18:49  | Portföy Değerlemesi  | -      | -      | -          | 10061.82     | -14.02     | %-0.14   | -75.84      
2026-08-17 10:22:37  | Portföy Değerlemesi  | -      | -      | -          | 10068.46     | -7.38      | %-0.07   | -75.84      
2026-08-17 10:23:06  | Portföy Değerlemesi  | -      | -      | -          | 10078.84     | +3.00      | %+0.03   | -75.84      
2026-08-17 10:47:57  | Portföy Değerlemesi  | -      | -      | -          | 10112.62     | +36.78     | %+0.37   | -75.84      
2026-08-17 10:48:41  | Hisse Satım (lot)    | BAHKM  | 18     | 127.90     | 2302.20      | +100.80    | %+4.58   | 2226.36     
2026-08-17 10:52:27  | Portföy Değerlemesi  | -      | -      | -          | 7818.78      | -55.66     | %-0.71   | 2226.36     
2026-08-17 10:57:10  | Portföy Değerlemesi  | -      | -      | -          | 7827.36      | -47.08     | %-0.60   | 2226.36     
2026-08-17 11:03:14  | Portföy Değerlemesi  | -      | -      | -          | 7834.90      | -39.54     | %-0.50   | 2226.36     
2026-08-17 11:12:13  | Portföy Değerlemesi  | -      | -      | -          | 7835.90      | -38.54     | %-0.49   | 2226.36     
2026-08-17 11:33:04  | Portföy Değerlemesi  | -      | -      | -          | 7798.44      | -76.00     | %-0.97   | 2226.36     
2026-08-17 12:49:51  | Portföy Değerlemesi  | -      | -      | -          | 7808.68      | -65.76     | %-0.84   | 2226.36     
2026-08-17 13:13:07  | Portföy Değerlemesi  | -      | -      | -          | 7801.94      | -72.50     | %-0.92   | 2226.36     
2026-08-17 13:27:12  | Portföy Değerlemesi  | -      | -      | -          | 7804.14      | -70.30     | %-0.89   | 2226.36     
2026-08-17 13:32:39  | Portföy Değerlemesi  | -      | -      | -          | 7807.96      | -66.48     | %-0.84   | 2226.36     
2026-08-17 13:56:28  | Portföy Değerlemesi  | -      | -      | -          | 7816.42      | -58.02     | %-0.74   | 2226.36     
2026-08-17 15:08:29  | Portföy Değerlemesi  | -      | -      | -          | 7765.68      | -108.76    | %-1.38   | 2226.36     
2026-08-17 15:13:29  | Portföy Değerlemesi  | -      | -      | -          | 7763.68      | -110.76    | %-1.41   | 2226.36     
2026-08-17 15:13:52  | Hisse Satım (lot)    | ALBRK  | 210    | 8.35       | 1753.50      | +16.80     | %+0.97   | 3979.86     
2026-08-17 15:54:37  | Portföy Değerlemesi  | -      | -      | -          | 5964.24      | -173.50    | %-2.83   | 3979.86     
2026-08-17 16:43:33  | Portföy Değerlemesi  | -      | -      | -          | 5957.74      | -180.00    | %-2.93   | 3979.86     
2026-08-17 16:43:58  | Portföy Değerlemesi  | -      | -      | -          | 5954.66      | -183.08    | %-2.98   | 3979.86     
2026-08-17 16:57:24  | Portföy Değerlemesi  | -      | -      | -          | 5959.44      | -178.30    | %-2.90   | 3979.86     
